source,unit_id,unit_type,year,unit_date,unit_label,unit_url,landing_page_url,source_url,title,summary,authors,oa_marker,pdf_url,doi,openalex_id,source_item_id,paper_type,venue_section,concepts,referenced_works_count,cited_by_count
PLOS Biology,plos_biology_2015_v13_i1,journal_issue_or_year,2015,2015-01-15,"vol. 13, issue 1",https://doi.org/10.1371/journal.pbio.1002039,https://doi.org/10.1371/journal.pbio.1002039,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,"Composition, Formation, and Regulation of the Cytosolic C-ring, a Dynamic Component of the Type III Secretion Injectisome",,Andreas Diepold; Mikhail Kudryashev; Nicolas J. Delalez; Richard M. Berry; Judith P. Armitage,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002039&type=printable,10.1371/journal.pbio.1002039,https://openalex.org/W2145347886,https://openalex.org/W2145347886,article,OpenAlex concept filter: Cell biology,Biology; Fluorescence recovery after photobleaching; Secretion; Cytosol; Cell biology; Effector; Biochemistry; Type three secretion system; Green fluorescent protein; Biophysics; Membrane; Enzyme; Gene; Virulence,87,121
PLOS Biology,plos_biology_2015_v13_i1,journal_issue_or_year,2015,2015-01-20,"vol. 13, issue 1",https://doi.org/10.1371/journal.pbio.1002038,https://doi.org/10.1371/journal.pbio.1002038,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Structure-Guided Design of Selective Epac1 and Epac2 Agonists,,Frank Schwede; Daniela Bertinetti; Carianne N. Langerijs; Michael A. Hadders; Hans Wienk; et al.,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002038&type=printable,10.1371/journal.pbio.1002038,https://openalex.org/W2130465434,https://openalex.org/W2130465434,article,OpenAlex concept filter: Cell biology,In vivo; In vitro; Potency; Biology; Insulin; Secretion; Cell biology; Endocrinology; Internal medicine; Biochemistry; Medicine; Genetics,66,83
PLOS Biology,plos_biology_2015_v13_i1,journal_issue_or_year,2015,2015-01-29,"vol. 13, issue 1",https://doi.org/10.1371/journal.pbio.1002048,https://doi.org/10.1371/journal.pbio.1002048,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Calorie Restriction-Mediated Replicative Lifespan Extension in Yeast Is Non-Cell Autonomous,,Szu-Chieh Mei; Charles Brenner,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002048&type=printable,10.1371/journal.pbio.1002048,https://openalex.org/W2114193791,https://openalex.org/W2114193791,article,OpenAlex concept filter: Cell biology,Longevity; Biology; NAD+ kinase; Calorie restriction; Yeast; Nicotinamide mononucleotide; Intracellular; Cell biology; Genetics; Nicotinamide; Biochemistry; Enzyme; Nicotinamide adenine dinucleotide; Endocrinology,33,24
PLOS Biology,plos_biology_2015_v13_i2,journal_issue_or_year,2015,2015-02-09,"vol. 13, issue 2",https://doi.org/10.1371/journal.pbio.1002051,https://doi.org/10.1371/journal.pbio.1002051,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,A Novel TGFβ Modulator that Uncouples R-Smad/I-Smad-Mediated Negative Feedback from R-Smad/Ligand-Driven Positive Feedback,,Wenchao Gu; Rui Monteiro; Jie Zuo; Filipa C. Simões; Andrea Martella; et al.,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002051&type=printable,10.1371/journal.pbio.1002051,https://openalex.org/W2040078270,https://openalex.org/W2040078270,article,OpenAlex concept filter: Cell biology,SMAD; Biology; Negative feedback; Cell biology; Positive feedback; Zebrafish; Transforming growth factor; Transcription factor; Signalling; Signal transduction; Gene; Genetics; Physics; Voltage; Quantum mechanics; Electrical engineering; Engineering,64,8
PLOS Biology,plos_biology_2015_v13_i2,journal_issue_or_year,2015,2015-02-11,"vol. 13, issue 2",https://doi.org/10.1371/journal.pbio.1002059,https://doi.org/10.1371/journal.pbio.1002059,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Signal Transduction by a Fungal NOD-Like Receptor Based on Propagation of a Prion Amyloid Fold,,Asen Daskalov; Birgit Habenstein; Dênis Martinez; Alfons J. M. Debets; Raimon Sabaté; et al.,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002059&type=printable,10.1371/journal.pbio.1002059,https://openalex.org/W2144356753,https://openalex.org/W2144356753,article,OpenAlex concept filter: Cell biology,Biology; Podospora anserina; Cell biology; Receptor; Genetics; Gene; Mutant,85,90
PLOS Biology,plos_biology_2015_v13_i2,journal_issue_or_year,2015,2015-02-17,"vol. 13, issue 2",https://doi.org/10.1371/journal.pbio.1002069,https://doi.org/10.1371/journal.pbio.1002069,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Luminal Progenitors Restrict Their Lineage Potential during Mammary Gland Development,,Verónica Rodilla; Alessandro Dasti; Mathilde Huyghe; Daniel Lafkas; Cécile Laurent; et al.,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002069&type=printable,10.1371/journal.pbio.1002069,https://openalex.org/W2015463567,https://openalex.org/W2015463567,article,OpenAlex concept filter: Cell biology,Biology; Myoepithelial cell; Progenitor cell; Stem cell; Morphogenesis; Mammary gland; Cell biology; Progenitor; Lineage (genetic); Cellular differentiation; Embryonic stem cell; Multipotent Stem Cell; Immunology; Genetics; Cancer; Breast cancer; Gene; Immunohistochemistry,39,122
PLOS Biology,plos_biology_2015_v13_i2,journal_issue_or_year,2015,2015-02-24,"vol. 13, issue 2",https://doi.org/10.1371/journal.pbio.1002083,https://doi.org/10.1371/journal.pbio.1002083,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,The DEAH-box Helicase Dhr1 Dissociates U3 from the Pre-rRNA to Promote Formation of the Central Pseudoknot,,Richa Sardana; Xin Liu; Sander Granneman; Jieyi Zhu; Michael Gill; et al.,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002083&type=printable,10.1371/journal.pbio.1002083,https://openalex.org/W2060535588,https://openalex.org/W2060535588,article,OpenAlex concept filter: Cell biology,Biology; Ribosomal RNA; Pseudoknot; Ribosome; 23S ribosomal RNA; Ribosomal protein; Peptidyl transferase; RNA; 5.8S ribosomal RNA; Helicase; Genetics; Cell biology; Molecular biology; Gene,48,91
PLOS Biology,plos_biology_2015_v13_i3,journal_issue_or_year,2015,2015-03-03,"vol. 13, issue 3",https://doi.org/10.1371/journal.pbio.1002093,https://doi.org/10.1371/journal.pbio.1002093,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,A Novel Bipartite Centrosome Coordinates the Apicomplexan Cell Cycle,,Elena S. Suvorova; María E. Francia; Boris Striepen; Michael W. White,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002093&type=printable,10.1371/journal.pbio.1002093,https://openalex.org/W1976044895,https://openalex.org/W1976044895,article,OpenAlex concept filter: Cell biology,Biology; Centrosome; Cell biology; Cytokinesis; Cell division; Kinetochore; Genetics; Cell cycle; Cell; Chromosome; Gene,68,163
PLOS Biology,plos_biology_2015_v13_i3,journal_issue_or_year,2015,2015-03-12,"vol. 13, issue 3",https://doi.org/10.1371/journal.pbio.1002109,https://doi.org/10.1371/journal.pbio.1002109,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Bistability in a Metabolic Network Underpins the De Novo Evolution of Colony Switching in Pseudomonas fluorescens,,Jenna Gallie; Eric Libby; Frederic Bertels; Philippe Remigi; Christian Bille Jendresen; et al.,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002109&type=printable,10.1371/journal.pbio.1002109,https://openalex.org/W2171664620,https://openalex.org/W2171664620,article,OpenAlex concept filter: Cell biology,Biology; Phenotype; Genetics; Phenotypic switching; Pseudomonas fluorescens; Point mutation; Gene duplication; Gene; Cell biology; Computational biology; Mutation; Biochemistry; Bacteria,67,63
PLOS Biology,plos_biology_2015_v13_i3,journal_issue_or_year,2015,2015-03-12,"vol. 13, issue 3",https://doi.org/10.1371/journal.pbio.1002089,https://doi.org/10.1371/journal.pbio.1002089,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,ATPase-Dependent Control of the Mms21 SUMO Ligase during DNA Repair,,Marcelino Bermúdez-López; Irene Pociño-Merino; Humberto Sánchez; Bueno Andrés; Clàudia Guasch; et al.,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002089&type=printable,10.1371/journal.pbio.1002089,https://openalex.org/W2084612070,https://openalex.org/W2084612070,article,OpenAlex concept filter: Cell biology,Biology; SUMO protein; DNA ligase; DNA repair; Ubiquitin ligase; Cell biology; DNA replication; Genetics; DNA; Ubiquitin; Gene,58,42
PLOS Biology,plos_biology_2015_v13_i3,journal_issue_or_year,2015,2015-03-12,"vol. 13, issue 3",https://doi.org/10.1371/journal.pbio.1002087,https://doi.org/10.1371/journal.pbio.1002087,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Alpha-catenin-Dependent Recruitment of the Centrosomal Protein CAP350 to Adherens Junctions Allows Epithelial Cells to Acquire a Columnar Shape,,María P. Gavilán; Marina Arjona; Angel Zurbano; Étienne Formstecher; Juan Ramón Martínez‐Morales; et al.,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002087&type=printable,10.1371/journal.pbio.1002087,https://openalex.org/W2007889809,https://openalex.org/W2007889809,article,OpenAlex concept filter: Cell biology,Adherens junction; Cell biology; Biology; Microtubule; Cadherin; Cytoskeleton; Morphogenesis; Epithelial polarity; Cell polarity; Actin cytoskeleton; Catenin; Epithelium; Cell; Signal transduction; Wnt signaling pathway; Genetics; Gene,42,20
PLOS Biology,plos_biology_2015_v13_i3,journal_issue_or_year,2015,2015-03-18,"vol. 13, issue 3",https://doi.org/10.1371/journal.pbio.1002111,https://doi.org/10.1371/journal.pbio.1002111,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Cell Cycle–Dependent Differentiation Dynamics Balances Growth and Endocrine Differentiation in the Pancreas,,Yung Hae Kim; Hjalte List Larsen; Pau Rué; Laurence A. Lemaire; Jorge Ferrer; et al.,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002111&type=printable,10.1371/journal.pbio.1002111,https://openalex.org/W2106752665,https://openalex.org/W2106752665,article,OpenAlex concept filter: Cell biology,Biology; Progenitor cell; Progenitor; Cell biology; Cellular differentiation; Stem cell; Pancreas; Enteroendocrine cell; Endocrine system; Population; Directed differentiation; Embryonic stem cell; Endocrinology; Genetics; Hormone; Induced pluripotent stem cell; Sociology; Demography; Gene,44,62
PLOS Biology,plos_biology_2015_v13_i3,journal_issue_or_year,2015,2015-03-25,"vol. 13, issue 3",https://doi.org/10.1371/journal.pbio.1002107,https://doi.org/10.1371/journal.pbio.1002107,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,The Polarity Protein Scribble Regulates Myelination and Remyelination in the Central Nervous System,,Andrew A. Jarjour; Amanda Boyd; Lukas E. Dow; R. Holloway; Sandra Goebbels; et al.,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002107&type=printable,10.1371/journal.pbio.1002107,https://openalex.org/W2163415744,https://openalex.org/W2163415744,article,OpenAlex concept filter: Cell biology,Remyelination; Biology; Myelin; Cell biology; Myelin basic protein; Oligodendrocyte; Central nervous system; Protein kinase A; Neuroscience; Kinase,66,42
PLOS Biology,plos_biology_2015_v13_i3,journal_issue_or_year,2015,2015-03-26,"vol. 13, issue 3",https://doi.org/10.1371/journal.pbio.1002103,https://doi.org/10.1371/journal.pbio.1002103,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,A Voltage-Gated Calcium Channel Regulates Lysosomal Fusion with Endosomes and Autophagosomes and Is Required for Neuronal Homeostasis,,Xuejun Tian; Upasana Gala; Yongping Zhang; Weina Shang; Sonal Nagarkar-Jaiswal; et al.,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002103&type=printable,10.1371/journal.pbio.1002103,https://openalex.org/W2024002523,https://openalex.org/W2024002523,article,OpenAlex concept filter: Cell biology,Cell biology; Endosome; Biology; Autophagy; Vacuole; Lipid bilayer fusion; Lysosome; Intracellular; Biochemistry; Cytoplasm; Membrane; Enzyme; Apoptosis,70,113
PLOS Biology,plos_biology_2015_v13_i3,journal_issue_or_year,2015,2015-03-31,"vol. 13, issue 3",https://doi.org/10.1371/journal.pbio.1002119,https://doi.org/10.1371/journal.pbio.1002119,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Integration of Shallow Gradients of Shh and Netrin-1 Guides Commissural Axons,,Tyler F. W. Sloan; Mohammad A. Qasaimeh; David Juncker; Patricia T. Yam; Frédéric Charron,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002119&type=printable,10.1371/journal.pbio.1002119,https://openalex.org/W2102751342,https://openalex.org/W2102751342,article,OpenAlex concept filter: Cell biology,Netrin; Axon guidance; Sonic hedgehog; Floor plate; Biology; Commissure; Growth cone; Spinal cord; Axon; Neuroscience; Anatomy; Cell biology; Slit; Signal transduction,38,62
PLOS Biology,plos_biology_2015_v13_i4,journal_issue_or_year,2015,2015-04-01,"vol. 13, issue 4",https://doi.org/10.1371/journal.pbio.1002115,https://doi.org/10.1371/journal.pbio.1002115,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Ih Channels Control Feedback Regulation from Amacrine Cells to Photoreceptors,,Wen Hu; Tingting Wang; Xiao Wang; Junhai Han,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002115&type=printable,10.1371/journal.pbio.1002115,https://openalex.org/W2017507195,https://openalex.org/W2017507195,article,OpenAlex concept filter: Cell biology,Biology; Neuroscience; Ion channel; Cell biology; Genetics; Receptor,74,58
PLOS Biology,plos_biology_2015_v13_i4,journal_issue_or_year,2015,2015-04-02,"vol. 13, issue 4",https://doi.org/10.1371/journal.pbio.1002097,https://doi.org/10.1371/journal.pbio.1002097,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Spontaneous Cdc42 Polarization Independent of GDI-Mediated Extraction and Actin-Based Trafficking,,Felipe O. Bendezú; Vincent Vincenzetti; Dimitrios Vavylonis; Romain Wyss; Horst Vogel; et al.,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002097&type=printable,10.1371/journal.pbio.1002097,https://openalex.org/W2081246162,https://openalex.org/W2081246162,article,OpenAlex concept filter: Cell biology,CDC42; Biology; Cell biology; Cell polarity; GTPase; Biophysics; Endocytosis; Schizosaccharomyces pombe; Transport protein; Saccharomyces cerevisiae; Biochemistry; Yeast; Cell,75,135
PLOS Biology,plos_biology_2015_v13_i4,journal_issue_or_year,2015,2015-04-02,"vol. 13, issue 4",https://doi.org/10.1371/journal.pbio.1002114,https://doi.org/10.1371/journal.pbio.1002114,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Regulation of Protein Quality Control by UBE4B and LSD1 through p53-Mediated Transcription,,Goran Periz; Jiayin Lu; Tao Zhang; Mark W. Kankel; Angela M. Jablonski; et al.,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002114&type=printable,10.1371/journal.pbio.1002114,https://openalex.org/W2040315040,https://openalex.org/W2040315040,article,OpenAlex concept filter: Cell biology,Biology; Cell biology; Demethylase; Transcription factor; Ubiquitin ligase; Proteotoxicity; TFEB; Ubiquitin; Effector; Regulator; Genetics; Protein folding; Gene; Epigenetics,69,53
PLOS Biology,plos_biology_2015_v13_i4,journal_issue_or_year,2015,2015-04-07,"vol. 13, issue 4",https://doi.org/10.1371/journal.pbio.1002122,https://doi.org/10.1371/journal.pbio.1002122,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS154343897%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC95444343%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Convergence and Extrusion Are Required for Normal Fusion of the Mammalian Secondary Palate,,Seungil Kim; Ace E. Lewis; Vivek Singh; Xuefei Ma; Robert Adelstein; et al.,gold;is_oa,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002122&type=printable,10.1371/journal.pbio.1002122,https://openalex.org/W2001593340,https://openalex.org/W2001593340,article,OpenAlex concept filter: Cell biology,Biology; Epithelium; Myosin; Cell biology; Myosin light-chain kinase; Contractility; Cell; Anatomy; Cell fusion; Biophysics; Biochemistry; Genetics; Endocrinology,74,106
